,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
8,2012-11-29,NVDA,3.069999933242798,3.0850000381469727,3.0,2.78285551071167,48868800.0,3.0,-0.03456904204780775,3.0089824532659937,2.567683281978757,45.84400269453168,-14.063342047619354,3.719474515604311,2.807124209403992,2.9329336484273276
8,2012-11-29,QCOM,63.04999923706055,63.68000030517578,62.880001068115234,48.47336196899414,11977500.0,3.0,0.5155546571206528,49.05278911732426,45.000061987412074,56.19711303259418,122.845718562655,20.354266492498496,46.39286626180013,47.02361907958984
9,2012-11-30,AAPL,20.956785202026367,21.014286041259766,20.809999465942383,18.08053207397461,391319600.0,4.0,-0.18114799600263254,18.692336751075704,16.05136098757176,47.101938280455464,12.402896833552978,8.42033252472733,17.892198944091795,19.219026533762612
9,2012-11-30,AMD,2.1600000858306885,2.2200000286102295,2.109999895095825,2.200000047683716,66853900.0,4.0,-0.135249157520706,2.177901488595119,1.783098477072606,40.21590112323591,50.947134173897446,11.772023526761949,2.062666646639506,2.7306666652361553
9,2012-11-30,AMZN,250.3800048828125,252.64999389648438,248.27000427246094,252.0500030517578,3797400.0,4.0,2.667533237119329,253.19001905092577,215.88298204770703,57.244494952970655,169.0861451527194,29.348449844477358,234.86133422851563,244.40416742960613
9,2012-11-30,BIDU,98.75,99.30999755859375,95.27999877929688,96.30999755859375,4449800.0,4.0,-3.474617889466785,108.20739807570202,88.49960113084096,40.861991619635226,-60.32156231823219,28.878600923418595,103.04833272298177,107.49016596476237
9,2012-11-30,GOOG,344.3642272949219,348.3044738769531,341.5647277832031,347.88104248046875,6350916.0,4.0,-1.6195305708869796,347.8950871239487,318.84530289069977,53.48926514418453,91.17547987139406,4.343358741273165,336.6413513183594,351.0696034749349
9,2012-11-30,INTC,19.6299991607666,19.770000457763672,19.420000076293945,15.0894136428833,51427800.0,4.0,-0.41645174788161476,16.884548447991943,14.499046351049808,36.04954637570199,-102.00985310259543,34.9873805708064,15.975712172190349,16.72364265124003
9,2012-11-30,MSFT,27.049999237060547,27.1299991607666,26.489999771118164,22.155794143676758,83690200.0,4.0,-0.41463142739462455,24.725808091114352,21.289315085460352,39.32695012165996,-91.48795479620837,29.998611350124794,23.203607940673827,24.102167638142905
9,2012-11-30,NVDA,3.007499933242798,3.0299999713897705,2.9749999046325684,2.766676187515259,46050400.0,4.0,-0.03227617973547714,2.9988743742791937,2.56624496375639,45.31432457421924,-34.72521075503369,7.728726124664432,2.7986058235168456,2.928215142091115
9,2012-11-30,QCOM,63.619998931884766,63.810001373291016,63.15999984741211,48.6799430847168,13017300.0,4.0,0.5645612623566123,49.2295181920961,45.12098267765487,56.835123163260135,122.33490483870978,21.68443696564589,46.4760139465332,47.06264254252116
10,2012-12-03,AAPL,21.201786041259766,21.2353572845459,20.91071319580078,18.108644485473633,364280000.0,0.0,-0.13902994938487723,18.742576355210662,16.0382307584368,47.28916014412604,27.94725352815145,3.0879415402409816,17.83505999247233,19.177325948079428
10,2012-12-03,AMD,2.2799999713897705,2.4600000381469727,2.259999990463257,2.359999895095825,70160800.0,0.0,-0.09618522805236696,2.2495653054824305,1.7374346592316197,43.95096682214228,166.60412838260953,30.07200275103612,2.0489999771118166,2.7114999969800313
10,2012-12-03,AMZN,252.5399932861328,254.16000366210938,250.0,250.3300018310547,2990600.0,0.0,3.198814050102328,255.33543610465034,215.5285653601934,56.16777817523259,167.42690541842722,32.0270089984031,234.95600077311198,244.47266743977863
10,2012-12-03,BIDU,96.93000030517578,97.80000305175781,95.80999755859375,95.9000015258789,4210400.0,0.0,-3.295658073949568,107.27077083731146,88.51722888803033,40.55310807315918,-60.00173583504383,28.878600923418613,102.41666615804037,107.22283261617025
10,2012-12-03,GOOG,349.808837890625,351.62701416015625,345.7590026855469,346.3268737792969,4401436.0,0.0,-0.7493791566739105,348.650604675728,318.4549159541548,52.689289710882356,136.44082155105622,10.128324539683863,335.64110005696614,351.190234375
10,2012-12-03,INTC,19.8799991607666,19.920000076293945,19.5,15.06628131866455,50637000.0,0.0,-0.41115761486677194,16.697176078727125,14.509462829659107,35.90261249493912,-88.83311492634155,28.403410079833012,15.923595301310222,16.66451301574707
10,2012-12-03,MSFT,26.780000686645508,26.81999969482422,26.399999618530273,21.997655868530273,53173800.0,0.0,-0.43464802297641825,24.54140928907946,21.23820954636976,38.48268066754885,-99.76222127565735,31.577811722663135,23.122629928588868,24.05067186355591
10,2012-12-03,NVDA,3.0299999713897705,3.0299999713897705,2.930000066757202,2.715827226638794,39138000.0,0.0,-0.03416828529020144,2.9892570529253684,2.560608931991319,43.673753640227034,-57.163874349758004,14.573373753841143,2.7891579627990724,2.9224960565567017
10,2012-12-03,QCOM,63.90999984741211,63.95000076293945,63.2400016784668,48.48865509033203,8558400.0,0.0,0.5812635630622793,49.27990140392719,45.382021813846244,56.05305522691075,112.80318128563887,23.161725436880477,46.53697255452474,47.096947288513185
11,2012-12-04,AAPL,20.7785701751709,20.7785701751709,20.43321418762207,17.789220809936523,557068400.0,1.0,-0.12992818385101756,18.71841809241341,16.043508177117843,45.40043368331353,-0.6462829202869438,12.970750596960917,17.779543177286783,19.12720603942871
